serialnumber,listyear,daterecorded,town,address,assessedvalue,saleamount,salesratio,propertytype,residentialtype,geo_coordinates,:@computed_region_dam5_q64j,:@computed_region_nhmp_cq6b,:@computed_region_m4y2_whse,:@computed_region_snd5_k6zv,nonusecode,remarks,opm_remarks
160251,2016,2017-05-05T00:00:00.000,Westport,10 DEVON ROAD,2645800,3425000,0.77249635,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-73.31395, 41.13096]}",1040,179,158,9,,,
160409,2016,2017-07-20T00:00:00.000,Westport,8 BRADLEY STREET,2255100,3700000,0.609486486,Single Family,Single Family,,,,,,,,
16017,2016,2016-10-05T00:00:00.000,Wethersfield,50 FOLLY BROOK BLVD,194000,270000,0.718518519,Single Family,Single Family,,,,,,,,
160143,2016,2017-01-30T00:00:00.000,Wethersfield,1780 BERLIN TPK,277100,360000,0.769722222,,,,,,,,,,
160285,2016,2017-05-26T00:00:00.000,Wethersfield,807 WELLS RD,165500,199000,0.831658291,Single Family,Single Family,,,,,,,,
160439,2016,2017-08-07T00:00:00.000,Wethersfield,46 GOFF BROOK CIR,208200,359900,0.578494026,Single Family,Single Family,,,,,,,,
160058,2016,2017-07-17T00:00:00.000,Willington,68 CEMETERY RD,220450,298000,0.739765101,Single Family,Single Family,,,,,,,,
16110,2016,2017-03-15T00:00:00.000,Wilton,107 KEELERS RIDGE RD,1158220,1348750,0.858735867,Single Family,Single Family,,,,,,,,
16240,2016,2017-07-20T00:00:00.000,Wilton,1005 RIDGEFIELD RD,728350,825000,0.882848485,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-73.48495, 41.2393]}",1040,212,161,9,,,
160052,2016,2017-02-01T00:00:00.000,Winchester,230 E WAKEFIELD BLVD,79310,100000,0.7931,Condo,Condo,,,,,,,,
160214,2016,2017-09-29T00:00:00.000,Winchester,119 RUGG BROOK RD,114240,169000,0.675976331,Single Family,Single Family,,,,,,,,
160168,2016,2017-04-26T00:00:00.000,Windham,61 HORIZON DR,107720,155000,0.694967742,Single Family,Single Family,,,,,,,,
160314,2016,2017-09-05T00:00:00.000,Windham,64 GIFFORD AVE,74990,140000,0.535642857,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.20852, 41.70333]}",39,207,163,8,,,
160122,2016,2017-01-05T00:00:00.000,Windsor,12 SCHERER LN,159670,244000,0.654385246,Single Family,Single Family,,,,,,,,
160285,2016,2017-05-23T00:00:00.000,Windsor,8 SCHERER LN,175420,235900,0.743620178,Single Family,Single Family,,,,,,,,
160418,2016,2017-08-09T00:00:00.000,Windsor,625 PALISADO AVE (206),14770,31000,0.476451613,Condo,Condo,,,,,,,,
160056,2016,2017-01-03T00:00:00.000,Windsor Locks,7 FOX HOLLOW DR,114100,151600,0.752638522,Condo,Condo,,,,,,,SALES RATIO,
160199,2016,2017-08-24T00:00:00.000,Windsor Locks,25 ROSS WAY,168100,257000,0.654,Condo,Condo,"{'type': 'Point', 'coordinates': [-72.65156, 41.94378]}",1041,21,165,1,,,
160036,2016,2016-12-29T00:00:00.000,Woodbridge,41 NORTHROP RD,372260,497499,0.748262811,Single Family,Single Family,,,,,,,,
160152,2016,2017-09-20T00:00:00.000,Woodbridge,21 ENOCH DR,455560,555000,0.820828829,Single Family,Single Family,,,,,,,,
161193,2016,2017-08-21T00:00:00.000,Woodbury,591 UPPER GRASSY HILL RD,273300,375000,0.7288,Single Family,Single Family,,,,,,,,
150649,2015,2016-04-07T00:00:00.000,Ansonia,120 NORTH PROSPECT ST EXTENSIO,224100,276500,0.810488246,Single Family,Single Family,,,,,,,,
15000041,2015,2016-06-10T00:00:00.000,Ashford,148 MANSFIELD RD,194100,220000,0.882272727,Two Family,Two Family,,,,,,,DUPLEX ON ROUT 89.  PROBATE SALE.,
150101,2015,2016-01-21T00:00:00.000,Avon,33 ARLINGTON DRIVE,382000,535000,0.714018692,Single Family,Single Family,,,,,,,,
150218,2015,2016-06-16T00:00:00.000,Avon,142 JUNIPER DRIVE,258170,412000,0.626626214,Single Family,Single Family,,,,,,,,
150324,2015,2016-08-16T00:00:00.000,Avon,40 JUNIPER DRIVE,228430,265000,0.862,Single Family,Single Family,,,,,,,,
150018,2015,2015-11-17T00:00:00.000,Beacon Falls,20 OAKWOOD DR,59380,80000,0.74225,,,,,,,,,,
150072,2015,2015-12-04T00:00:00.000,Berlin,7 MCGEE LANE,232700,407000,0.571744472,Single Family,Single Family,,,,,,,qualified sale,
150241,2015,2016-06-28T00:00:00.000,Berlin,513 LOWER LANE,122600,182500,0.671780822,Single Family,Single Family,,,,,,,qualified sale,
150038,2015,2016-06-30T00:00:00.000,Bethany,190 SCHAFFER RD,172370,250000,0.68948,Single Family,Single Family,,,,,,,,
150120,2015,2016-02-09T00:00:00.000,Bethel,13 APPLETREE ROAD,258800,385000,0.672207792,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-73.39239, 41.39878]}",1040,77,9,9,,,
150274,2015,2016-07-21T00:00:00.000,Bethel,111 MILWAUKEE AVENUE,143520,221000,0.649411765,Single Family,Single Family,,,,,,,,
150012,2015,2015-10-19T00:00:00.000,Bloomfield,10 OAK LANE,122500,155000,0.790322581,Single Family,Single Family,,,,,,,,
150150,2015,2016-04-05T00:00:00.000,Bloomfield,2 OLD WINDSOR RD,2249170,3500000,0.64262,,,,,,,,,"SOLD ALONG WITH 5 OLD WINDSOR RD - ASSMT 975,800",
159270,2015,2016-07-26T00:00:00.000,Bloomfield,28 WOODFORD DR,67130,80000,0.839125,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.69873, 41.82556]}",1041,224,11,1,,,
150010,2015,2015-12-14T00:00:00.000,Bozrah,38 LEBANON RD,101070,150000,0.6738,Single Family,Single Family,,,,,,,NEEDS WORK,
150167,2015,2016-01-29T00:00:00.000,Branford,35 BEECHWOOD RD,321500,525000,0.612380952,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.76856, 41.29067]}",1044,170,14,7,,,
150340,2015,2016-06-06T00:00:00.000,Branford,23 RUSSELL ST,146300,240000,0.609583333,Single Family,Single Family,,,,,,,,
150538,2015,2016-09-20T00:00:00.000,Branford,9 OVERLAND CT,202400,317000,0.638485804,Single Family,Single Family,,,,,,,,
150078,2015,2015-11-02T00:00:00.000,Bristol,22 FAIRVIEW AVE,93800,150000,0.625333333,Single Family,Single Family,,,,,,,,
150219,2015,2016-01-08T00:00:00.000,Bristol,35 TREBLE RD,165830,278500,0.595439856,Single Family,Single Family,,,,,,,,
150364,2015,2016-03-31T00:00:00.000,Bristol,33 FAIRVIEW AVE,76510,116000,0.659568966,Single Family,Single Family,,,,,,,,
150498,2015,2016-05-27T00:00:00.000,Bristol,148 MERCIER AVE,124320,175500,0.708376068,Single Family,Single Family,,,,,,,,
150615,2015,2016-07-01T00:00:00.000,Bristol,47 PERRY RD,126560,165000,0.767030303,Single Family,Single Family,,,,,,,,
150734,2015,2016-08-11T00:00:00.000,Bristol,32 FOURTH ST,125160,179000,0.699217877,Two Family,Two Family,,,,,,,,
150860,2015,2016-09-27T00:00:00.000,Bristol,370 EMMETT ST UN 8-8,143640,197000,0.729137056,Condo,Condo,"{'type': 'Point', 'coordinates': [-72.90889, 41.66327]}",1041,219,17,4,,,
150143,2015,2016-04-05T00:00:00.000,Brookfield,120 CANDLEWOOD LAKE RD,22450,28000,0.801785714,,,"{'type': 'Point', 'coordinates': [-73.4179, 41.45176]}",1040,173,18,9,,,
159286,2015,2016-08-18T00:00:00.000,Brookfield,6 BRISTOL PATH,124880,200000,0.6244,Condo,Condo,,,,,,,SOLD WITH GARAGE,
15126,2015,2016-07-05T00:00:00.000,Burlington,11 PARTRIDGE LANE,186760,266800,0.7,Single Family,Single Family,,,,,,,,
150085,2015,2016-05-02T00:00:00.000,Canton,17 COLLINS ROAD,127340,175000,0.727657143,Single Family,Single Family,,,,,,,,
15038,2015,2016-07-11T00:00:00.000,Chaplin,883 PHOENIXVILLE RD,103100,149000,0.691946309,Single Family,Single Family,,,,,,,,
150129,2015,2016-01-05T00:00:00.000,Cheshire,626 MIXVILLE RD,141460,216000,0.654907407,Single Family,Single Family,,,,,,,,
150283,2015,2016-06-03T00:00:00.000,Cheshire,225 REDWOOD LANE,179580,345000,0.520521739,Single Family,Single Family,,,,,,,,
150419,2015,2016-08-18T00:00:00.000,Cheshire,325 SANDBANK RD #B1,64020,110000,0.582,,,,,,,,,,
15006,2015,2015-10-06T00:00:00.000,Colchester,804 FIELDSTONE CT,106500,155000,0.687096774,Condo,Condo,,,,,,,,
15113,2015,2016-04-14T00:00:00.000,Colchester,28 FAIRWAY DR,167700,215000,0.78,Condo,Condo,"{'type': 'Point', 'coordinates': [-72.33999, 41.59206]}",1045,235,28,8,,,
15218,2015,2016-08-30T00:00:00.000,Colchester,54 PARK RD,65600,97000,0.67628866,,,,,,,,,,
1500018,2015,2016-03-31T00:00:00.000,Cornwall,15 STONE HILL RD,106400,145000,0.733793103,,,"{'type': 'Point', 'coordinates': [-73.30805, 41.89131]}",1042,265,31,6,,,
150186,2015,2016-07-28T00:00:00.000,Coventry,750 BABCOCK HILL RD,140400,215500,0.651508121,Single Family,Single Family,,,,,,,,
150103,2015,2016-03-04T00:00:00.000,Cromwell,15 GROVE ROAD,151810,205000,0.740536585,Single Family,Single Family,,,,,,,,
150243,2015,2016-08-16T00:00:00.000,Cromwell,14 MORNING VIEW DRIVE,130230,175750,0.740995733,Condo,Condo,"{'type': 'Point', 'coordinates': [-72.6897, 41.60696]}",1043,165,33,3,,,
150111,2015,2015-10-29T00:00:00.000,Danbury,33 ROBINHOOD RD,194000,280000,0.692857143,Single Family,Single Family,,,,,,,C06072,
150258,2015,2015-12-21T00:00:00.000,Danbury,5 COLLEGE PARK DR,165200,250000,0.6608,Single Family,Single Family,,,,,,,E15124,
150387,2015,2016-02-08T00:00:00.000,Danbury,11 HICKORY ST,127100,222500,0.571235955,Single Family,Single Family,,,,,,,I11184,
150616,2015,2016-04-05T00:00:00.000,Danbury,14 CONN AVE,173600,325000,0.534153846,Single Family,Single Family,,,,,,,H16054,
150750,2015,2016-05-23T00:00:00.000,Danbury,12 COLBY LANE,142300,230000,0.618695652,Single Family,Single Family,,,,,,,J15286,
150873,2015,2016-06-27T00:00:00.000,Danbury,14 MAPLE RIDGE RD,125700,244500,0.514110429,Single Family,Single Family,,,,,,,G11082,
150994,2015,2016-08-01T00:00:00.000,Danbury,72 TOPSTONE DR,135200,222500,0.607640449,Single Family,Single Family,,,,,,,L14062,
151121,2015,2016-09-01T00:00:00.000,Danbury,31 OLYMPIC DR,220300,340000,0.647941176,Single Family,Single Family,,,,,,,F21014,
15029,2015,2015-10-23T00:00:00.000,Darien,18 PARK PLACE,443310,613000,0.723181077,Single Family,Single Family,,,,,,,,
15149,2015,2016-04-01T00:00:00.000,Darien,2 CEDAR GATE,548800,656000,0.836585366,Single Family,Single Family,,,,,,,,
15253,2015,2016-06-29T00:00:00.000,Darien,8 MILES ROAD,694960,1637500,0.424403053,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-73.50037, 41.06556]}",1040,5,35,9,,,
15023,2015,2016-06-28T00:00:00.000,Eastford,211 EASTFORD RD,216420,255000,0.848705882,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.07889, 41.9059]}",39,256,39,5,,,
150014,2015,2015-10-26T00:00:00.000,East Haddam,88 RIDGEWOOD RD,105140,162000,0.649012346,Single Family,Single Family,,,,,,,,
150161,2015,2016-08-04T00:00:00.000,East Haddam,74 MOODUS LEESVILLE RD,102920,165000,0.623757576,Single Family,Single Family,,,,,,,,
15199,2015,2015-12-30T00:00:00.000,East Hartford,"441 MAIN ST., #106",12400,19000,0.652631579,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.64046, 41.75264]}",1041,24,43,1,,mobile home,
15464,2015,2016-05-25T00:00:00.000,East Hartford,124 BIRCHWOOD RD.,131890,165000,0.799333333,Single Family,Single Family,,,,,,,,
15690,2015,2016-08-29T00:00:00.000,East Hartford,"31 HIGH ST., UNIT 6104",57160,76000,0.752105263,Condo,Condo,,,,,,,,
1500086,2015,2015-12-03T00:00:00.000,East Haven,82 ALLISON WAY,171590,185000,0.927513514,Condo,Condo,"{'type': 'Point', 'coordinates': [-72.85379, 41.31806]}",1044,130,44,7,,,
1500247,2015,2016-04-12T00:00:00.000,East Haven,19 KIRKHAM AVE,173100,236000,0.733474576,Single Family,Single Family,,,,,,,,
1500373,2015,2016-07-21T00:00:00.000,East Haven,36 AARON RD,229130,248000,0.92391129,Single Family,Single Family,,,,,,,,
150052,2015,2015-11-30T00:00:00.000,East Lyme,11 SO RIDGE ROAD,201810,380000,0.531078947,Single Family,Single Family,,,,,,,,
150206,2015,2016-05-20T00:00:00.000,East Lyme,19 INDIANOLA RD,237440,398500,0.595834379,Single Family,Single Family,,,,,,,,
150347,2015,2016-09-09T00:00:00.000,East Lyme,78 COREY LANE #2,91420,115100,0.794265856,Condo,Condo,,,,,,,,
150102,2015,2016-07-01T00:00:00.000,Easton,108 NORTHWOOD DR,607020,830000,0.731349398,Single Family,Single Family,,,,,,,,
150092,2015,2016-05-16T00:00:00.000,East Windsor,3 MARGARET DR,137680,255000,0.539921569,Single Family,Single Family,,,,,,,,
150055,2015,2015-11-02T00:00:00.000,Enfield,5.5 BRIDGE LA,170310,226000,0.753584071,Single Family,Single Family,,,,,,,,
150216,2015,2016-02-24T00:00:00.000,Enfield,82 SIMON RD,262810,380000,0.691605263,Single Family,Single Family,,,,,,,,
150397,2015,2016-05-31T00:00:00.000,Enfield,31 OAKWOOD ST,146030,220000,0.663772727,Single Family,Single Family,,,,,,,,
150538,2015,2016-07-25T00:00:00.000,Enfield,12 HATHAWAY AVE,86900,129000,0.673643411,Single Family,Single Family,,,,,,,,
150019,2015,2015-11-13T00:00:00.000,Essex,5 RUSSET LANE,329000,652500,0.504214559,Single Family,Single Family,,,,,,,,
15005,2015,2015-10-01T00:00:00.000,Farmington,86 LITCHFIELD RD,173080,250000,0.69232,Single Family,Single Family,,,,,,,,
15135,2015,2016-01-22T00:00:00.000,Farmington,19 SKYLINE DR,190830,290000,0.658034483,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.77942, 41.72831]}",1041,254,52,1,,,
15265,2015,2016-05-23T00:00:00.000,Farmington,48 LITTLEBROOK CROSSING,108710,158000,0.688037975,Condo,Condo,,,,,,,AFFORDABLE HOUSING INCOME AND SALE RESTRICTIONS,
15395,2015,2016-07-29T00:00:00.000,Farmington,58 FARMINGTON CHASE CRESCENT,105200,150000,0.701333333,Condo,Condo,,,,,,,,
150009,2015,2015-10-02T00:00:00.000,Glastonbury,10 MORGAN DR,230100,366400,0.628002183,Single Family,Single Family,,,,,,,,
150122,2015,2015-12-07T00:00:00.000,Glastonbury,33 SHELBURNE WAY,422200,650000,0.649538462,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.49476, 41.69945]}",1041,90,54,1,,,
150256,2015,2016-03-02T00:00:00.000,Glastonbury,139 HOLLISTER WAY N,104600,163000,0.641717791,Condo,Condo,,,,,,,,
150377,2015,2016-05-12T00:00:00.000,Glastonbury,259 HUBBARD ST,155800,220000,0.708181818,Single Family,Single Family,,,,,,,,
150489,2015,2016-06-29T00:00:00.000,Glastonbury,28 CARTER LN,149200,218000,0.68440367,Condo,Condo,,,,,,,,
150605,2015,2016-08-18T00:00:00.000,Glastonbury,318 CONESTOGA WAY,139100,200000,0.6955,Condo,Condo,"{'type': 'Point', 'coordinates': [-72.57212, 41.69552]}",1041,90,54,1,,,
150003,2015,2015-10-15T00:00:00.000,Goshen,32 BENJAMIN LANE,115030,175000,0.657314286,Single Family,Single Family,,,,,,,,
15000053,2015,2015-12-21T00:00:00.000,Granby,108 WELLS RD,152390,225000,0.677288889,Single Family,Single Family,,,,,,,,
15000178,2015,2016-08-01T00:00:00.000,Granby,92 MOUNTAIN RD,162470,257900,0.629972858,Single Family,Single Family,,,,,,,,
150431,2015,2016-04-05T00:00:00.000,Griswold,70 BROWN AVE UNIT 23,59080,65000,0.908923077,Condo,Condo,,,,,,,,
150057,2015,2015-11-04T00:00:00.000,Groton,970 PLEASANT VALLEY RD NORTH,150500,227900,0.660377358,Single Family,Single Family,,,,,,,,
150250,2015,2016-03-29T00:00:00.000,Groton,17 WATER ST A15,510510,440000,1.16025,Condo,Condo,,,,,,,,
150429,2015,2016-07-01T00:00:00.000,Groton,144 BROOK ST,233030,329000,0.708297872,Single Family,Single Family,,,,,,,,
150573,2015,2016-09-09T00:00:00.000,Groton,51 CINDY LN,160440,255000,0.629176471,Single Family,Single Family,,,,,,,,
1500093,2015,2015-12-21T00:00:00.000,Guilford,TANNER MARSH RD,116930,225000,0.519688889,,,,,,,,,MAP 81 LOT 178,
1500254,2015,2016-06-03T00:00:00.000,Guilford,3 PADDOCK LN,241560,275000,0.8784,Condo,Condo,,,,,,,,
1500391,2015,2016-08-15T00:00:00.000,Guilford,99 EAST BEARHOUSE HILL RD,595000,765000,0.777777778,Single Family,Single Family,,,,,,,,
15075,2015,2015-10-29T00:00:00.000,Hartford,34-38 BEACON ST,303380,505000,0.600752475,,,,,,,,,,
15255,2015,2016-01-25T00:00:00.000,Hartford,755 WETHERSFIELD AV,6635,32500,0.204153846,Condo,Condo,,,,,,,,
15454,2015,2016-04-28T00:00:00.000,Hartford,601 HILLSIDE AV,44804,134000,0.334358209,Single Family,Single Family,,,,,,,,
15637,2015,2016-07-19T00:00:00.000,Hartford,41 ZION ST UNIT 7,26992,46000,0.586782609,Condo,Condo,,,,,,,,
15800,2015,2016-09-20T00:00:00.000,Hartford,92-94 BALTIMORE ST,43226,145000,0.298110345,Three Family,Three Family,"{'type': 'Point', 'coordinates': [-72.70116, 41.78467]}",1041,175,64,1,,,
150114,2015,2015-10-26T00:00:00.000,Hebron,22 BUTTONWOOD DR,165830,261600,0.633906728,Condo,Condo,,,,,,,,
150243,2015,2016-08-03T00:00:00.000,Hebron,126 HOADLY RD,233030,288000,0.809131944,Single Family,Single Family,,,,,,,,
151039,2015,2015-10-29T00:00:00.000,Killingly,26 SOAP ST,102760,90000,1.141777778,,,,,,,,,,
150527,2015,2016-05-26T00:00:00.000,Killingly,171 STATE AVE,99120,120000,0.826,Single Family,Single Family,,,,,,,,
150944,2015,2016-09-30T00:00:00.000,Killingly,31 BEATRICE AVE,88830,140000,0.6345,Single Family,Single Family,,,,,,,,
150042,2015,2016-02-26T00:00:00.000,Lebanon,111 LAKESIDE DR,86910,128000,0.678984375,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.23169, 41.55413]}",1045,29,71,8,,,
15049,2015,2016-06-30T00:00:00.000,Lisbon,4 MEADOWBROOK CIRCLE,212560,205000,1.036878049,Single Family,Single Family,,,,,,,Warranty,
150014,2015,2016-02-18T00:00:00.000,Lyme,2 HICKORY ST,183000,295000,0.620338983,Single Family,Single Family,,,,,,,,
150136,2015,2016-03-01T00:00:00.000,Madison,71 SCENIC ROAD,194300,305000,0.63704918,Single Family,Single Family,,,,,,,,
150796,2015,2016-07-14T00:00:00.000,Madison,48 LAWSON DRIVE,464600,600000,0.774333333,Single Family,Single Family,,,,,,,,
150079,2015,2015-10-29T00:00:00.000,Manchester,267 MAIN STREET,123200,159900,0.770481551,,,,,,,,,,
150275,2015,2016-01-28T00:00:00.000,Manchester,150 LAMPLIGHTER DRIVE,175400,182900,0.958993986,Single Family,Single Family,,,,,,,,
150471,2015,2016-04-25T00:00:00.000,Manchester,35 KEENEY STREET,108200,163500,0.6617737,Single Family,Single Family,,,,,,,,
150615,2015,2016-06-07T00:00:00.000,Manchester,63 GERARD STREET,129800,212000,0.612264151,Single Family,Single Family,,,,,,,,
150767,2015,2016-07-29T00:00:00.000,Manchester,61 EMILY LANE,263400,350000,0.752571429,Single Family,Single Family,,,,,,,,
150921,2015,2016-09-23T00:00:00.000,Manchester,313 NEW STATE ROAD,174800,249700,0.700040048,,,"{'type': 'Point', 'coordinates': [-72.55465, 41.78834]}",1041,161,77,1,,,
15153,2015,2016-05-27T00:00:00.000,Mansfield,10 SHARON DRIVE,22200,25000,0.888,Single Family,Single Family,,,,,,,VALLEY VIEW MOBILE HOME PARK,
150032,2015,2015-10-13T00:00:00.000,Meriden,56 FARM HILL RD,112700,162400,0.693965517,Single Family,Single Family,,,,,,,,
150204,2015,2015-12-23T00:00:00.000,Meriden,7-13 PINE MEADOW,52780,51500,1.024854369,Condo,Condo,,,,,,,,
150426,2015,2016-03-31T00:00:00.000,Meriden,11 SUZIO DR,230790,210527,1.096248937,Single Family,Single Family,,,,,,,,
150592,2015,2016-06-09T00:00:00.000,Meriden,27 ORCHARD ST,129360,186000,0.695483871,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.78275, 41.54555]}",1044,199,80,7,,,
150718,2015,2016-07-25T00:00:00.000,Meriden,70 CART PATH DR,135100,197900,0.682668014,Single Family,Single Family,,,,,,,,
150859,2015,2016-09-22T00:00:00.000,Meriden,133 PRESTON DR,191170,254000,0.752637795,Single Family,Single Family,,,,,,,,
150003,2015,2015-10-01T00:00:00.000,Middlefield,145 HUBBARD ST,146900,220000,0.667727273,Single Family,Single Family,,,,,,,,
150084,2015,2015-11-16T00:00:00.000,Middletown,161 TROLLEY CROSSING LA,63690,85500,0.744912281,Condo,Condo,,,,,,,,
150266,2015,2016-03-01T00:00:00.000,Middletown,11 LAUREL ST,99400,181000,0.549171271,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.63329, 41.55031]}",1043,236,83,3,,,
150421,2015,2016-05-27T00:00:00.000,Middletown,50 RED CLOVER CIR,160000,172000,0.930232558,Single Family,Single Family,,,,,,,,
150555,2015,2016-07-19T00:00:00.000,Middletown,20 BENJAMIN LA,175410,271500,0.646077348,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.69009, 41.59504]}",1043,236,83,3,,,
150701,2015,2016-09-28T00:00:00.000,Middletown,20 ST JOHNS ST,83190,99000,0.84030303,Two Family,Two Family,,,,,,,,
15150,2015,2015-11-13T00:00:00.000,Milford,67 SALEM WALK,130080,195000,0.667076923,Condo,Condo,"{'type': 'Point', 'coordinates': [-72.99428, 41.23021]}",1044,193,84,7,,,
15345,2015,2016-01-21T00:00:00.000,Milford,34 BAYSHORE DR,994160,1225000,0.811559184,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-73.03107, 41.20784]}",1044,193,84,7,,,
15577,2015,2016-04-01T00:00:00.000,Milford,144 JUNIPER DR,338190,437325,0.77331504,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-73.08671, 41.24533]}",1044,28,84,7,,,
15705,2015,2016-05-31T00:00:00.000,Milford,12 BROOKDALE AVE,148930,280000,0.531892857,Single Family,Single Family,,,,,,,,
15946,2015,2016-07-11T00:00:00.000,Milford,133-5 SEEMANS LN,112570,169500,0.664129794,Condo,Condo,,,,,,,,
150061,2015,2016-08-17T00:00:00.000,Milford,170 CLARK HILL RD,300840,395000,0.761620253,Single Family,Single Family,,,,,,,,
150225,2015,2016-09-26T00:00:00.000,Milford,103 MEADOW ST,132640,179000,0.741005587,Condo,Condo,"{'type': 'Point', 'coordinates': [-73.06369, 41.23219]}",1044,193,84,7,,,
15146,2015,2016-04-18T00:00:00.000,Monroe,60 SENIOR DR,69300,105000,0.66,Single Family,Single Family,,,,,,,,
15263,2015,2016-07-29T00:00:00.000,Monroe,17 PATMAR LN,152900,220000,0.695,Single Family,Single Family,,,,,,,,
15092,2015,2016-02-01T00:00:00.000,Montville,63 HOLLY HILL DR,118050,130000,0.908076923,Single Family,Single Family,,,,,,,,
15344,2015,2016-07-22T00:00:00.000,Montville,35 FITCH HILL RD #3,106840,139000,0.768633094,Condo,Condo,,,,,,,,
150032,2015,2015-10-22T00:00:00.000,Naugatuck,165 TAWNY THRUSH RD,119370,173000,0.69,Single Family,Single Family,,,,,,,,
150239,2015,2016-04-11T00:00:00.000,Naugatuck,44 FOREST ST,110620,170000,0.650705882,Single Family,Single Family,,,,,,,,
150466,2015,2016-08-24T00:00:00.000,Naugatuck,159 MEADOW ST,152840,240000,0.636833333,,,,,,,,,,
150135,2015,2015-11-17T00:00:00.000,New Britain,190-C BRITTANY FARMS,74410,110000,0.676454545,Condo,Condo,"{'type': 'Point', 'coordinates': [-72.77441, 41.71038]}",1041,110,89,1,,,
150307,2015,2016-02-01T00:00:00.000,New Britain,19 PULASKI ST,114170,207000,0.551545894,Two Family,Two Family,,,,,,,,
150491,2015,2016-04-15T00:00:00.000,New Britain,755 SHUTTLE MEADOW AVE,141820,215000,0.659627907,Single Family,Single Family,,,,,,,,
150693,2015,2016-06-29T00:00:00.000,New Britain,5 ODONNELL RD,76510,120000,0.637583333,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-72.77771, 41.7046]}",1041,110,89,1,,,
150853,2015,2016-08-25T00:00:00.000,New Britain,281 WINTHROP ST,121450,184900,0.656841536,Single Family,Single Family,,,,,,,,
150030,2015,2015-10-30T00:00:00.000,New Canaan,418 WAHACKME RD,1287440,2270000,0.567154185,Single Family,Single Family,,,,,,,,
150159,2015,2016-04-13T00:00:00.000,New Canaan,92 LOST DISTRICT DRIVE,1476790,1750000,0.84388,Single Family,Single Family,,,,,,,,
150271,2015,2016-07-21T00:00:00.000,New Canaan,51 LAMBERT ROAD,2504740,3975000,0.63012327,Single Family,Single Family,,,,,,,,
150076,2015,2016-01-14T00:00:00.000,New Fairfield,11 BROOK DRIVE,3500,5000,0.7,,,,,,,,,,
150234,2015,2016-08-16T00:00:00.000,New Fairfield,39 HUDSON,119200,205000,0.581463415,Single Family,Single Family,,,,,,,,
150026,2015,2015-10-09T00:00:00.000,New Haven,773 WHITNEY AVENUE,459970,595000,0.773058824,Single Family,Single Family,,,,,,,"VALID SALE PER TOWN SITE - TOWN 2016 MARKET VALUE = $635,500",
150197,2015,2015-12-23T00:00:00.000,New Haven,165 STARR STREET,54600,105000,0.52,Two Family,Two Family,"{'type': 'Point', 'coordinates': [-72.92838, 41.32756]}",1044,275,93,7,,,
150390,2015,2016-03-07T00:00:00.000,New Haven,789 EDGEWOOD AVENUE,175980,243000,0.724197531,Single Family,Single Family,,,,,,,,
150553,2015,2016-05-18T00:00:00.000,New Haven,491 LIGHTOUSE ROAD,142030,253153,0.561044112,Three Family,Three Family,,,,,,,,
150684,2015,2016-07-01T00:00:00.000,New Haven,324 HUMPRHREY STREET,285370,550000,0.518854545,Two Family,Two Family,,,,,,,,
150844,2015,2016-08-17T00:00:00.000,New Haven,20 TILTON ST,139020,320000,0.4344375,Single Family,Single Family,,,,,,,,
15023,2015,2015-10-13T00:00:00.000,Newington,61 APPLE HILL,124220,200000,0.6211,Condo,Condo,,,,,,,,
15147,2015,2016-01-27T00:00:00.000,Newington,34 MICHAEL LANE,141330,202474,0.698015548,Single Family,Single Family,,,,,,,,
15381,2015,2016-05-13T00:00:00.000,Newington,25 WAVERLY DRVE,366460,545000,0.67240367,Single Family,Single Family,,,,,,,,
15509,2015,2016-07-26T00:00:00.000,Newington,25 STARR AVE,121860,197504,0.617000162,Single Family,Single Family,,,,,,,,
150008,2015,2015-10-02T00:00:00.000,New London,122 ASHCRAFT RD,78680,144700,0.543745681,Two Family,Two Family,,,,,,,,
150264,2015,2016-06-15T00:00:00.000,New London,123 MONTAUK AVE,94080,108000,0.871111111,Three Family,Three Family,,,,,,,,
15035,2015,2015-11-23T00:00:00.000,Newtown,29 WHITEWOOD ROAD,358690,530000,0.676773585,Single Family,Single Family,"{'type': 'Point', 'coordinates': [-73.3309, 41.42361]}",1040,153,97,9,,,
15162,2015,2016-04-14T00:00:00.000,Newtown,107 GLEN ROAD,380800,740000,0.514594595,Single Family,Single Family,,,,,,,,
